"ID_DADOS";"CPU_PERCENT";"RAM_PERCENT";"DISK_PERCENT"
1;1.9;76.5;7.9
2;3.6;76.6;7.9
3;27.6;77.5;7.9
4;3.7;77.4;7.9
5;5.4;77.0;7.9
6;10.0;77.3;7.9
7;11.1;77.1;7.9
8;17.7;77.4;7.9
9;18.1;76.8;7.9
10;28.2;77.4;7.9
11;18.2;78.2;7.9
12;31.1;79.4;7.9
13;41.1;80.0;7.9
14;40.7;80.4;7.9
15;9.4;80.0;7.9
16;5.8;80.1;7.9
17;5.4;80.0;7.9
18;5.6;80.0;7.9
19;5.2;79.7;7.9
20;4.8;80.0;7.9
21;6.9;79.9;7.9
22;12.7;79.8;7.9
23;6.9;79.6;7.9
24;12.0;80.1;7.9
25;4.5;80.1;7.9
26;5.4;79.8;7.9
27;4.7;79.9;7.9
28;16.0;80.2;7.9
29;18.9;79.5;7.9
30;6.8;79.8;7.9
31;4.8;79.9;7.9
32;5.1;79.4;7.9
33;5.0;79.4;7.9
34;8.6;79.1;7.9
35;52.0;79.6;7.9
36;48.0;80.1;7.9
37;14.4;80.5;7.9
38;32.5;80.9;7.9
39;56.6;81.0;7.9
40;27.1;81.2;7.9
41;1.7;81.2;7.9
42;4.0;81.4;7.9
43;6.7;81.3;7.9
44;6.6;81.4;7.9
45;7.3;81.1;7.9
46;2.4;81.3;7.9
47;5.8;81.3;7.9
48;18.4;82.0;7.9
49;13.5;81.9;7.9
50;15.5;82.1;7.9
51;8.5;80.7;7.9
52;16.3;79.6;7.9
53;35.6;80.8;7.9
54;47.6;82.3;7.9
55;45.6;82.7;7.9
56;47.9;83.4;7.9
57;45.5;84.1;7.9
58;41.6;85.0;7.9
59;27.6;85.1;7.9
60;11.8;86.8;7.9
61;23.1;86.3;7.9
62;13.2;83.8;7.9
63;10.5;83.3;7.9
64;22.0;79.1;7.9
65;22.7;79.0;7.9
66;41.6;81.0;7.9
67;43.8;83.0;7.9
68;48.4;82.9;7.9
69;40.9;81.9;7.9
70;44.9;84.0;7.9
71;61.9;87.4;7.9
72;50.7;87.1;7.9
73;25.2;86.1;7.9
74;6.5;85.2;7.9
75;23.4;85.5;7.9
76;22.3;85.7;7.9
77;19.8;85.9;7.9
78;11.1;84.6;7.9
79;13.1;84.9;7.9
80;15.3;84.4;7.9
81;16.3;84.4;7.9
82;17.0;84.2;7.9
83;20.5;84.2;7.9
84;19.0;84.3;7.9
85;26.2;83.9;7.9
86;21.2;84.0;7.9
87;16.8;82.4;7.9
88;11.1;82.3;7.9
89;11.9;82.2;7.9
90;10.9;82.2;7.9
91;9.8;82.2;7.9
92;11.5;82.1;7.9
93;11.7;82.4;7.9
94;13.1;82.2;7.9
95;16.2;82.2;7.9
96;16.6;82.2;7.9
97;26.2;82.8;7.9
98;19.4;82.5;7.9
99;15.8;82.7;7.9
100;8.9;82.7;7.9
101;11.2;82.5;7.9
102;19.3;82.5;7.9
103;13.3;82.6;7.9
104;14.7;82.6;7.9
105;23.9;82.5;7.9
106;29.4;82.9;7.9
107;25.0;83.0;7.9
108;6.4;82.7;7.9
109;11.4;82.9;7.9
110;4.4;82.0;7.9
111;3.9;82.0;7.9
112;3.8;82.0;7.9
113;3.9;82.1;7.9
114;3.8;82.0;7.9
115;4.4;82.1;7.9
116;13.7;81.4;7.9
117;7.4;81.4;7.9
118;9.1;81.6;7.9
119;11.4;82.4;7.9
120;5.9;82.1;7.9
121;11.9;81.8;7.9
122;45.3;82.8;7.9
123;23.7;80.9;7.9
124;20.0;81.4;7.9
125;18.2;78.5;7.9
126;29.8;80.1;7.9
127;14.6;85.2;7.9
128;30.0;88.3;7.9
129;7.4;82.4;7.9
130;7.4;82.3;7.9
131;18.3;82.5;7.9
132;22.8;82.5;7.9
133;14.9;80.3;7.9
134;14.2;80.3;7.9
135;12.4;80.5;7.9
136;6.3;80.5;7.9
137;9.8;80.0;7.9
138;17.8;80.0;7.9
139;21.9;81.2;7.9
140;14.8;81.0;7.9
141;30.7;82.4;7.9
142;34.7;82.9;7.9
143;29.4;81.6;7.9
144;34.3;81.1;7.9
145;35.5;81.7;7.9
146;27.1;82.0;7.9
147;40.3;82.6;7.9
148;13.8;82.3;7.9
149;25.5;82.3;7.9
150;28.0;86.0;7.9
151;16.3;85.6;7.9
152;7.4;83.3;7.9
153;6.7;83.4;7.9
154;15.0;81.5;7.9
155;13.5;81.6;7.9
156;10.2;81.6;7.9
157;11.3;81.6;7.9
158;15.5;81.6;7.9
159;15.3;81.8;7.9
160;21.1;81.6;7.9
161;6.4;81.5;7.9
162;6.2;81.8;7.9
163;4.6;81.8;7.9
164;10.0;81.7;7.9
165;8.3;81.6;7.9
166;3.2;81.7;7.9
167;4.9;81.7;7.9
168;8.2;81.6;7.9
169;3.4;81.5;7.9
170;3.9;81.5;7.9
171;3.9;81.4;7.9
172;8.6;81.6;7.9
173;5.8;81.4;7.9
174;10.4;81.4;7.9
175;2.9;81.4;7.9
176;6.4;81.5;7.9
177;3.4;81.4;7.9
178;2.4;81.3;7.9
179;2.4;81.3;7.9
180;3.1;81.3;7.9
181;2.2;81.3;7.9
182;3.2;81.4;7.9
183;2.4;81.4;7.9
184;3.4;81.3;7.9
185;3.0;81.3;7.9
186;1.9;81.3;7.9
187;2.9;81.3;7.9
188;2.4;81.3;7.9
189;3.1;81.6;7.9
190;13.5;82.0;7.9
191;14.5;82.1;7.9
192;12.3;81.7;7.9
193;15.9;81.9;7.9
194;13.0;81.9;7.9
195;16.4;81.9;7.9
196;32.1;82.0;7.9
197;29.5;83.3;7.9
198;32.6;83.0;7.9
199;30.8;83.9;7.9
200;21.6;79.5;7.9
201;2.5;78.0;7.9
202;2.3;77.6;7.9
203;1.9;77.6;7.9
204;2.4;77.6;7.9
205;2.3;77.7;7.9
206;2.7;77.6;7.9
207;2.0;77.7;7.9
208;2.9;77.7;7.9
209;1.7;77.7;7.9
210;3.8;77.7;7.9
211;2.4;77.7;7.9
212;1.5;77.7;7.9
213;2.7;77.7;7.9
214;1.4;77.7;7.9
215;2.4;77.7;7.9
216;1.8;77.7;7.9
217;2.2;77.7;7.9
218;2.4;77.7;7.9
219;2.7;77.7;7.9
220;2.7;77.8;7.9
